date,dow,month,title,genre,receipts,zinz,double,composer,author
1790-08-09,Mon,Aug,La pastorella nobile,O,9733,TRUE,FALSE,Guglielmi,Zini
1790-08-10,Tue,Aug,Der Fahndrich,L,9886,TRUE,TRUE,,Schröder
1790-08-11,Wed,Aug,Il re Teodoro in Venezia,O,7689,FALSE,FALSE,Paisiello,Casti
1790-08-12,Thu,Aug,Der Jurist und der Bauer,L,8758,FALSE,TRUE,,Rautenstrauch
1790-08-13,Fri,Aug,La quacquera spirituosa,O,25058,TRUE,FALSE,Guglielmi,Da Ponte
1790-08-14,Sat,Aug,Die Adelsucht,L,12177,TRUE,TRUE,,La Chaussée
1790-08-15,Sun,Aug,La quacquera spirituosa,O,5887,FALSE,FALSE,Guglielmi,Da Ponte
1790-08-16,Mon,Aug,Der Bettelstudent,L,26994,FALSE,TRUE,Winter,Weidmann
1790-08-18,Wed,Aug,La pastorella nobile,O,15373,TRUE,FALSE,Guglielmi,Zini
1790-08-19,Thu,Aug,Das Blatt hat sich gewendet,L,13685,TRUE,FALSE,,Cumberland
1790-08-20,Fri,Aug,L'arbore di Diana,O,14696,FALSE,FALSE,Martín y Soler,Da Ponte
1790-08-21,Sat,Aug,Der Bettelstudent,L,31466,FALSE,TRUE,Winter,Weidmann
1790-08-22,Sun,Aug,Le nozze di Figaro,O,16605,FALSE,FALSE,Mozart,Da Ponte
1790-08-23,Mon,Aug,Der Strich durch die Rechnung,L,12548,FALSE,TRUE,,Jünger
1790-08-24,Tue,Aug,Il re Teodoro in Venezia,O,7110,TRUE,FALSE,Paisiello,Casti
1790-08-25,Wed,Aug,Emilia Galotti,T,12570,TRUE,FALSE,,Lessing
1790-08-26,Thu,Aug,"Axur, re d'Ormus",O,14527,FALSE,FALSE,Salieri,Da Ponte
1790-08-27,Fri,Aug,Das Loch in der Thure,L,7567,TRUE,FALSE,,Stephanie d.J.
1790-08-28,Sat,Aug,La pastorella nobile,O,13232,FALSE,FALSE,Guglielmi,Zini
1790-08-29,Sun,Aug,Ariadne auf Naxos,M,25552,FALSE,TRUE,Benda,Brandes
1790-08-30,Mon,Aug,Il re Teodoro in Venezia,O,8563,FALSE,FALSE,Paisiello,Casti
1790-08-31,Tue,Aug,Der Ring (Part 2),L,15746,TRUE,FALSE,,Schröder
1790-09-01,Wed,Sep,"Axur, re d'Ormus",O,15422,TRUE,FALSE,Salieri,Da Ponte
1790-09-02,Thu,Sep,Nicht mehr als sechs Schüsseln,G,12769,TRUE,FALSE,,Großmann
1790-09-03,Fri,Sep,Le nozze di Figaro,O,10701,TRUE,FALSE,Mozart,Da Ponte
1790-09-04,Sat,Sep,Agnes Bernauerinn,T,24203,FALSE,FALSE,,Törring und Cronsfeld
1790-09-05,Sun,Sep,La pastorella nobile,O,15745,FALSE,FALSE,Guglielmi,Zini
1790-09-06,Mon,Sep,Der Adjutant,L,15256,TRUE,TRUE,,Brömel
1790-09-07,Tue,Sep,Il re Teodoro in Venezia,O,10422,FALSE,FALSE,Paisiello,Casti
1790-09-09,Thu,Sep,Il re Teodoro in Venezia,O,12963,TRUE,FALSE,Paisiello,Casti
1790-09-10,Fri,Sep,Menschenhaß und Reue,S,23296,TRUE,FALSE,,Kotzebue
1790-09-11,Sat,Sep,Die Adelsucht,L,8401,FALSE,TRUE,,La Chaussée
1790-09-12,Sun,Sep,Das Landmädchen,L,21880,FALSE,FALSE,,Schmid
1790-09-13,Mon,Sep,La pastorella nobile,O,15356,TRUE,FALSE,Guglielmi,Zini
1790-09-14,Tue,Sep,Die Strelitzen,S,24824,TRUE,FALSE,,Babo
1790-09-15,Wed,Sep,Die falschen Vertraulichkeiten,L,36989,TRUE,TRUE,,Gotter
1790-09-16,Thu,Sep,La pastorella nobile,O,18641,TRUE,FALSE,Guglielmi,Zini
1790-09-17,Fri,Sep,Die falschen Vertraulichkeiten,L,3680,TRUE,FALSE,,Gotter
1790-09-18,Sat,Sep,Il re Teodoro in Venezia,O,13244,TRUE,FALSE,Paisiello,Casti
1790-09-20,Mon,Sep,"Axur, re d'Ormus",O,20903,TRUE,FALSE,Salieri,Da Ponte
1790-09-21,Tue,Sep,Stille Wasser sind betrüglich,L,11504,FALSE,FALSE,,Beaumont
1790-09-22,Wed,Sep,Der Bettler,L,17515,TRUE,TRUE,,Bock
1790-09-23,Thu,Sep,L'arbore di Diana,O,12365,TRUE,FALSE,Martín y Soler,Da Ponte
1790-09-24,Fri,Sep,Bayard,S,15875,FALSE,FALSE,,Werthes
1790-09-25,Sat,Sep,Le nozze di Figaro,O,9366,TRUE,FALSE,Mozart,Da Ponte
1790-09-26,Sun,Sep,Das öffentliche Geheimniß,L,22164,FALSE,FALSE,,Gotter
1790-09-27,Mon,Sep,La pastorella nobile,O,10933,TRUE,FALSE,Guglielmi,Zini
1790-09-28,Tue,Sep,Liebhaber und Nebenbuhler,L,26686,TRUE,FALSE,,Ziegler
1790-09-29,Wed,Sep,"Axur, re d'Ormus",O,9260,FALSE,FALSE,Salieri,Da Ponte
1790-09-30,Thu,Sep,Liebhaber und Nebenbuhler,L,26854,FALSE,FALSE,,Ziegler
1790-10-01,Fri,Oct,L'arbore di Diana,O,6566,TRUE,FALSE,Martín y Soler,Da Ponte
1790-10-02,Sat,Oct,Der Ring (Part 2),L,10199,FALSE,FALSE,,Schröder
1790-10-03,Sun,Oct,Gli equivoci,O,19156,FALSE,FALSE,Storace,Da Ponte
1790-10-04,Mon,Oct,Liebhaber und Nebenbuhler,L,24912,FALSE,FALSE,,Ziegler
1790-10-05,Tue,Oct,Gli equivoci,O,10682,FALSE,FALSE,Storace,Da Ponte
1790-10-06,Wed,Oct,Irrthum auf allen Ecken,L,7217,TRUE,FALSE,,Goldsmith
1790-10-07,Thu,Oct,Gli equivoci,O,7635,FALSE,FALSE,Storace,Da Ponte
1790-10-08,Fri,Oct,Agnes Bernauerinn,T,19330,FALSE,FALSE,,Törring und Cronsfeld
1790-10-09,Sat,Oct,La pastorella nobile,O,10925,TRUE,FALSE,Guglielmi,Zini
1790-10-10,Sun,Oct,Liebhaber und Nebenbuhler,L,31846,TRUE,FALSE,,Ziegler
1790-10-11,Mon,Oct,Le nozze di Figaro,O,7888,TRUE,FALSE,Mozart,Da Ponte
1790-10-12,Tue,Oct,Der Vizekanzler,S,14798,FALSE,FALSE,,Kratter
1790-10-13,Wed,Oct,"Axur, re d'Ormus",O,10797,FALSE,FALSE,Salieri,Da Ponte
1790-10-14,Thu,Oct,Der Sonderling,L,12834,TRUE,FALSE,,Weidmann
1790-10-16,Sat,Oct,"Axur, re d'Ormus",O,7123,FALSE,FALSE,Salieri,Da Ponte
1790-10-17,Sun,Oct,Liebhaber und Nebenbuhler,L,25459,FALSE,FALSE,,Ziegler
1790-10-18,Mon,Oct,Il re Teodoro in Venezia,O,9561,TRUE,FALSE,Paisiello,Casti
1790-10-19,Tue,Oct,Die Adelsucht,L,9474,TRUE,TRUE,,La Chaussée
1790-10-20,Wed,Oct,Liebhaber und Nebenbuhler,L,14942,FALSE,FALSE,,Ziegler
1790-10-21,Thu,Oct,Othello,T,15656,FALSE,FALSE,,Brockmann
1790-10-22,Fri,Oct,"Axur, re d'Ormus",O,9149,FALSE,FALSE,Salieri,Da Ponte
1790-10-23,Sat,Oct,Die heimliche Heyrath,L,7937,TRUE,FALSE,,Colman
1790-10-24,Sun,Oct,La caffettiera bizzarra,O,18871,FALSE,FALSE,Weigl,Da Ponte
1790-10-25,Mon,Oct,Das Souvenir,G,24237,TRUE,FALSE,,Brunner
1790-10-26,Tue,Oct,La pastorella nobile,O,12307,FALSE,FALSE,Guglielmi,Zini
1790-10-27,Wed,Oct,Das Souvenir,G,13944,FALSE,FALSE,,Brunner
1790-10-28,Thu,Oct,Il re Teodoro in Venezia,O,8933,TRUE,FALSE,Paisiello,Casti
1790-10-29,Fri,Oct,Liebhaber und Nebenbuhler,L,14093,FALSE,FALSE,,Ziegler
1790-10-30,Sat,Oct,L'arbore di Diana,O,14193,TRUE,FALSE,Martín y Soler,Da Ponte
1790-10-31,Sun,Oct,Die Strelitzen,S,34807,FALSE,FALSE,,Babo
1790-11-01,Mon,Nov,La caffettiera bizzarra,O,12687,TRUE,FALSE,Weigl,Da Ponte
1790-11-02,Tue,Nov,Die unmögliche Sache,L,11798,TRUE,FALSE,,Crowne
1790-11-03,Wed,Nov,Gli equivoci,O,12060,TRUE,FALSE,Storace,Da Ponte
1790-11-04,Thu,Nov,Menschenhaß und Reue,S,22339,FALSE,FALSE,,Kotzebue
1790-11-05,Fri,Nov,La pastorella nobile,O,13990,TRUE,FALSE,Guglielmi,Zini
1790-11-06,Sat,Nov,Die Jäger,G,15683,FALSE,FALSE,,Iffland
1790-11-07,Sun,Nov,Una cosa rara,O,26220,TRUE,FALSE,Martín y Soler,Da Ponte
1790-11-08,Mon,Nov,Die Lästerschule,L,13156,FALSE,FALSE,,Schröder
1790-11-09,Tue,Nov,L'arbore di Diana,O,11381,FALSE,FALSE,Martín y Soler,Da Ponte
1790-11-10,Wed,Nov,Das Portrait der Mutter,L,12879,FALSE,FALSE,,Schröder
1790-11-11,Thu,Nov,Il re Teodoro in Venezia,O,8181,FALSE,FALSE,Paisiello,Casti
1790-11-12,Fri,Nov,Die Familie,S,15542,FALSE,FALSE,,Gemmingen
1790-11-13,Sat,Nov,La molinara,O,22433,TRUE,FALSE,Paisiello,Palomba
1790-11-14,Sun,Nov,Das Souvenir,G,22297,FALSE,FALSE,,Brunner
1790-11-15,Mon,Nov,La molinara,O,28728,TRUE,FALSE,Paisiello,Palomba
1790-11-16,Tue,Nov,Bayard,S,13353,FALSE,FALSE,,Werthes
1790-11-17,Wed,Nov,La molinara,O,19401,TRUE,FALSE,Paisiello,Palomba
1790-11-18,Thu,Nov,Juliane von Lindorak,S,11899,FALSE,FALSE,,Gozzi
1790-11-19,Fri,Nov,Il re Teodoro in Venezia,O,8504,FALSE,FALSE,Paisiello,Casti
1790-11-20,Sat,Nov,Matilde,T,35842,FALSE,FALSE,,Ziegler
1790-11-21,Sun,Nov,La molinara,O,26488,FALSE,FALSE,Paisiello,Palomba
1790-11-22,Mon,Nov,Der Landphilosoph,L,13439,FALSE,FALSE,,Weidmann
1790-11-23,Tue,Nov,La molinara,O,22990,FALSE,FALSE,Paisiello,Palomba
1790-11-24,Wed,Nov,Verirrung ohne Laster,S,11482,FALSE,FALSE,,Beck
1790-11-25,Thu,Nov,L'arbore di Diana,O,12913,FALSE,FALSE,Martín y Soler,Da Ponte
1790-11-26,Fri,Nov,Matilde,T,33628,TRUE,FALSE,,Ziegler
1790-11-27,Sat,Nov,La pastorella nobile,O,15582,FALSE,FALSE,Guglielmi,Zini
1790-11-30,Tue,Nov,Matilde,T,34841,TRUE,FALSE,,Ziegler
1790-12-01,Wed,Dec,La molinara,O,24078,FALSE,FALSE,Paisiello,Palomba
1790-12-02,Thu,Dec,Wahrheit ist gut Ding,L,11779,FALSE,FALSE,,Goldoni
1790-12-03,Fri,Dec,"Axur, re d'Ormus",O,17203,FALSE,FALSE,Salieri,Da Ponte
1790-12-04,Sat,Dec,Die Strelitzen,S,24807,FALSE,FALSE,,Babo
1790-12-05,Sun,Dec,Gli equivoci,O,18971,TRUE,FALSE,Storace,Da Ponte
1790-12-06,Mon,Dec,Der Vizekanzler,S,17004,FALSE,FALSE,,Kratter
1790-12-07,Tue,Dec,La pastorella nobile,O,12699,TRUE,FALSE,Guglielmi,Zini
1790-12-08,Wed,Dec,Matilde,T,32462,FALSE,FALSE,,Ziegler
1790-12-09,Thu,Dec,L'arbore di Diana,O,11071,FALSE,FALSE,Martín y Soler,Da Ponte
1790-12-10,Fri,Dec,Das Räuschgen,L,9501,FALSE,FALSE,,Bretzner
1790-12-11,Sat,Dec,Il re Teodoro in Venezia,O,9448,FALSE,FALSE,Paisiello,Casti
1790-12-12,Sun,Dec,Die schöne Wienerinn,L,29960,FALSE,FALSE,,Weidmann
1790-12-13,Mon,Dec,Gli equivoci,O,9475,FALSE,FALSE,Storace,Da Ponte
1790-12-14,Tue,Dec,Der Burgermeister,L,13772,FALSE,FALSE,,Brühl
1790-12-15,Wed,Dec,La molinara,O,26160,FALSE,FALSE,Paisiello,Palomba
1790-12-16,Thu,Dec,Fehler in Formalibus,L,22142,TRUE,TRUE,,Seidel
1790-12-17,Fri,Dec,La molinara,O,15534,FALSE,FALSE,Paisiello,Palomba
1790-12-18,Sat,Dec,Das Portrait der Mutter,L,11408,FALSE,FALSE,,Schröder
1790-12-19,Sun,Dec,Ariadne auf Naxos,M,27595,FALSE,TRUE,Benda,Brandes
1790-12-20,Mon,Dec,Matilde,T,28808,FALSE,FALSE,,Ziegler
1790-12-21,Tue,Dec,Menschenhaß und Reue,S,21823,FALSE,FALSE,,Kotzebue
1790-12-26,Sun,Dec,Liebhaber und Nebenbuhler,L,26849,FALSE,FALSE,,Ziegler
1790-12-27,Mon,Dec,Il talismano,O,19776,FALSE,FALSE,Salieri,Da Ponte
1790-12-28,Tue,Dec,Das öffentliche Geheimniß,L,15592,FALSE,FALSE,,Gotter
1790-12-29,Wed,Dec,Il talismano,O,12266,FALSE,FALSE,Salieri,Da Ponte
1790-12-30,Thu,Dec,Hamlet,T,21815,FALSE,FALSE,,Schröder
1790-12-31,Fri,Dec,La molinara,O,17182,FALSE,FALSE,Paisiello,Palomba
1791-01-01,Sat,Jan,Liebhaber und Nebenbuhler,L,22743,FALSE,FALSE,,Ziegler
1791-01-02,Sun,Jan,Il talismano,O,21542,FALSE,FALSE,Salieri,Da Ponte
1791-01-03,Mon,Jan,Das Blatt hat sich gewendet,L,12522,FALSE,FALSE,,Cumberland
1791-01-04,Tue,Jan,Le nozze di Figaro,O,14778,TRUE,FALSE,Mozart,Da Ponte
1791-01-05,Wed,Jan,Die Sonnenjungfrau,S,38590,FALSE,FALSE,Weigl,Kotzebue
1791-01-06,Thu,Jan,L'arbore di Diana,O,17164,FALSE,FALSE,Martín y Soler,Da Ponte
1791-01-07,Fri,Jan,Die Sonnenjungfrau,S,34394,TRUE,FALSE,Weigl,Kotzebue
1791-01-08,Sat,Jan,Una cosa rara,O,13622,FALSE,FALSE,Martín y Soler,Da Ponte
1791-01-09,Sun,Jan,Die unmögliche Sache,L,21394,FALSE,FALSE,,Crowne
1791-01-10,Mon,Jan,La pastorella nobile,O,15382,TRUE,FALSE,Guglielmi,Zini
1791-01-11,Tue,Jan,Die Sonnenjungfrau,S,36626,TRUE,FALSE,Weigl,Kotzebue
1791-01-12,Wed,Jan,Stille Wasser sind betrüglich,L,9931,FALSE,FALSE,,Beaumont
1791-01-13,Thu,Jan,Die Sonnenjungfrau,S,32382,FALSE,FALSE,Weigl,Kotzebue
1791-01-14,Fri,Jan,Il talismano,O,11138,FALSE,FALSE,Salieri,Da Ponte
1791-01-15,Sat,Jan,Der Landphilosoph,L,10049,FALSE,FALSE,,Weidmann
1791-01-16,Sun,Jan,Il re Teodoro in Venezia,O,11769,FALSE,FALSE,Paisiello,Casti
1791-01-17,Mon,Jan,Wahrheit ist gut Ding,L,9603,FALSE,FALSE,,Goldoni
1791-01-18,Tue,Jan,La molinara,O,19317,FALSE,FALSE,Paisiello,Palomba
1791-01-19,Wed,Jan,Die Sonnenjungfrau,S,32020,FALSE,FALSE,Weigl,Kotzebue
1791-01-20,Thu,Jan,Le nozze di Figaro,O,11051,FALSE,FALSE,Mozart,Da Ponte
1791-01-21,Fri,Jan,Liebhaber und Nebenbuhler,L,12485,FALSE,FALSE,,Ziegler
1791-01-22,Sat,Jan,Gli equivoci,O,9087,TRUE,FALSE,Storace,Da Ponte
1791-01-23,Sun,Jan,Die Lästerschule,L,16162,FALSE,FALSE,,Schröder
1791-01-24,Mon,Jan,La cifra,O,10255,FALSE,FALSE,Salieri,Da Ponte
1791-01-25,Tue,Jan,Die Sonnenjungfrau,S,32364,FALSE,FALSE,Weigl,Kotzebue
1791-01-26,Wed,Jan,L'arbore di Diana,O,10658,FALSE,FALSE,Martín y Soler,Da Ponte
1791-01-27,Thu,Jan,Der Sonderling,L,13183,FALSE,FALSE,,Weidmann
1791-01-28,Fri,Jan,La molinara,O,16581,FALSE,FALSE,Paisiello,Palomba
1791-01-29,Sat,Jan,Agnes Bernauerinn,T,21321,FALSE,FALSE,,Törring und Cronsfeld
1791-01-30,Sun,Jan,Il talismano,O,9602,FALSE,FALSE,Salieri,Da Ponte
1791-01-31,Mon,Jan,Der Kühehirt,L,10956,FALSE,TRUE,,Weidmann
1791-02-01,Tue,Feb,La cifra,O,9145,FALSE,FALSE,Salieri,Da Ponte
1791-02-02,Wed,Feb,Die Sonnenjungfrau,S,31394,FALSE,FALSE,Weigl,Kotzebue
1791-02-03,Thu,Feb,L'arbore di Diana,O,8872,FALSE,FALSE,Martín y Soler,Da Ponte
1791-02-04,Fri,Feb,Matilde,T,19180,FALSE,FALSE,,Ziegler
1791-02-05,Sat,Feb,L'arbore di Diana,O,6097,FALSE,FALSE,Martín y Soler,Da Ponte
1791-02-06,Sun,Feb,Das Portrait der Mutter,L,12453,FALSE,FALSE,,Schröder
1791-02-07,Mon,Feb,Una cosa rara,O,9511,FALSE,FALSE,Martín y Soler,Da Ponte
1791-02-08,Tue,Feb,Die Adelsucht,L,8444,FALSE,TRUE,,La Chaussée
1791-02-09,Wed,Feb,Le nozze di Figaro,O,8718,TRUE,FALSE,Mozart,Da Ponte
1791-02-10,Thu,Feb,Hamlet,T,17344,TRUE,FALSE,,Schröder
1791-02-11,Fri,Feb,La pastorella nobile,O,13112,TRUE,FALSE,Guglielmi,Zini
1791-02-12,Sat,Feb,Minna von Barnhelm,L,11282,FALSE,FALSE,,Lessing
1791-02-13,Sun,Feb,Il talismano,O,9781,FALSE,FALSE,Salieri,Da Ponte
1791-02-14,Mon,Feb,Der flatterhafte Ehemann,L,10114,FALSE,FALSE,,Bock
1791-02-15,Tue,Feb,La giardiniera innamorata,O,24149,TRUE,FALSE,Guglielmi,Palomba
1791-02-16,Wed,Feb,Die Sonnenjungfrau,S,31604,FALSE,FALSE,Weigl,Kotzebue
1791-02-17,Thu,Feb,La giardiniera innamorata,O,16950,TRUE,FALSE,Guglielmi,Palomba
1791-02-18,Fri,Feb,Percy,T,33082,FALSE,FALSE,,Moore
1791-02-19,Sat,Feb,Il re Teodoro in Venezia,O,7694,FALSE,FALSE,Paisiello,Casti
1791-02-22,Tue,Feb,Die Mündel,S,19546,FALSE,FALSE,,Iffland
1791-02-23,Wed,Feb,Il talismano,O,6098,FALSE,FALSE,Salieri,Da Ponte
1791-02-24,Thu,Feb,Der seltne Onckel,L,26823,FALSE,FALSE,,Ziegler
1791-02-25,Fri,Feb,Una cosa rara,O,9913,FALSE,FALSE,Martín y Soler,Da Ponte
1791-02-26,Sat,Feb,Der seltne Onckel,L,23478,TRUE,FALSE,,Ziegler
1791-02-27,Sun,Feb,La giardiniera innamorata,O,13878,FALSE,FALSE,Guglielmi,Palomba
1791-02-28,Mon,Feb,Die Sonnenjungfrau,S,30631,FALSE,FALSE,Weigl,Kotzebue
1791-03-01,Tue,Mar,La pastorella nobile,O,13456,FALSE,FALSE,Guglielmi,Zini
1791-03-02,Wed,Mar,Der Adjutant,L,21558,FALSE,TRUE,,Brömel
1791-03-03,Thu,Mar,L'arbore di Diana,O,10801,TRUE,FALSE,Martín y Soler,Da Ponte
1791-03-04,Fri,Mar,Menschenhaß und Reue,S,21493,TRUE,FALSE,,Kotzebue
1791-03-05,Sat,Mar,Il talismano,O,9201,FALSE,FALSE,Salieri,Da Ponte
1791-03-06,Sun,Mar,Der Bettelstudent,L,32326,FALSE,TRUE,Winter,Weidmann
1791-03-07,Mon,Mar,La molinara,O,20601,TRUE,FALSE,Paisiello,Palomba
1791-03-08,Tue,Mar,Der Fasching-Dienstag,L,32958,TRUE,TRUE,,Jünger
